Date,Close,High,Low,Open,Volume,MA10,MA20,MA50,MACD_ml,MACD_histogram,RSI14,OBV,ATR,StochasticMomentum
2023-12-19,153.79,155.12,152.69,154.4,43171300,148.63,147.48,139.93,2.97,0.31,67.28,891997500.0,3.37,91.66
2023-12-20,152.12,155.63,151.56,152.9,50322100,149.39,147.89,140.38,2.99,0.26,62.67,841675400.0,3.42,85.11
2023-12-21,153.84,153.97,152.1,153.3,36305700,150.08,148.24,140.82,3.11,0.3,65.3,877981100.0,3.31,82.62
2023-12-22,153.42,154.35,152.71,153.77,29480100,150.68,148.58,141.24,3.14,0.26,64.12,848501000.0,3.19,80.33
2023-12-26,153.41,153.98,153.03,153.56,25067200,151.44,148.86,141.72,3.12,0.2,64.09,823433800.0,3.03,83.28
2023-12-27,153.34,154.78,153.12,153.56,31434700,152.02,149.18,142.13,3.06,0.11,63.86,791999100.0,2.93,81.57
2023-12-28,153.38,154.08,152.95,153.72,27057000,152.48,149.53,142.57,2.99,0.03,63.94,819056100.0,2.81,81.21
2023-12-29,151.94,153.89,151.03,153.1,39789000,152.93,149.82,143.05,2.78,-0.14,59.01,779267100.0,2.81,77.12
2024-01-02,149.93,152.38,148.39,151.54,47339400,152.92,149.97,143.48,2.43,-0.4,52.89,731927700.0,2.89,65.09
2024-01-03,148.47,151.05,148.33,149.2,49425500,152.36,150.15,143.94,2.01,-0.65,48.91,682502200.0,2.88,47.74
2024-01-04,144.57,147.38,144.05,145.59,56039800,151.44,150.03,144.3,1.34,-1.06,40.22,626462400.0,2.99,26.16
2024-01-05,145.24,146.59,144.53,144.69,45124800,150.75,150.07,144.64,0.86,-1.23,42.13,671587200.0,2.92,14.65
2024-01-08,149.1,149.4,146.15,146.74,46757100,150.28,150.18,145.19,0.78,-1.05,51.67,718344300.0,3.01,19.46
2024-01-09,151.37,151.71,148.21,148.33,43812600,150.08,150.38,145.83,0.89,-0.75,56.24,762156900.0,3.05,39.03
2024-01-10,153.73,154.42,151.88,152.06,44421800,150.11,150.77,146.35,1.15,-0.39,60.43,806578700.0,3.05,63.47
2024-01-11,155.18,157.17,153.12,155.04,49072700,150.29,151.16,146.8,1.46,-0.06,62.79,855651400.0,3.12,77.21
2024-01-12,154.62,156.2,154.01,155.39,40460300,150.41,151.45,147.23,1.64,0.09,61.27,815191100.0,3.05,83.0
2024-01-16,153.16,154.99,152.15,153.53,41384600,150.54,151.73,147.55,1.65,0.08,57.37,773806500.0,3.04,78.28
2024-01-17,151.71,152.15,149.91,151.49,34953400,150.72,151.82,147.82,1.52,-0.04,53.72,738853100.0,3.05,69.46
2024-01-18,153.5,153.78,151.82,152.77,37850200,151.22,151.79,148.12,1.54,-0.01,57.33,776703300.0,2.98,66.62
2024-01-19,155.34,155.76,152.74,153.83,51033700,152.29,151.87,148.43,1.69,0.11,60.72,827737000.0,2.99,72.15
2024-01-22,154.78,157.05,153.9,156.89,43687500,153.25,152.0,148.67,1.74,0.13,59.18,784049500.0,3.0,79.95
2024-01-23,156.02,156.21,153.93,154.85,37986000,153.94,152.11,148.95,1.86,0.2,61.51,822035500.0,2.95,86.36
2024-01-24,156.87,158.51,156.48,157.8,48547300,154.49,152.28,149.28,2.01,0.27,63.07,870582800.0,2.91,87.23
2024-01-25,157.75,158.51,154.55,156.95,43638600,154.89,152.5,149.56,2.16,0.34,64.66,914221400.0,2.99,91.49
2024-01-26,159.12,160.72,157.91,158.42,51047400,155.29,152.79,149.89,2.37,0.44,67.05,965268800.0,2.99,90.75
2024-01-29,161.26,161.29,158.9,159.34,45270400,155.95,153.18,150.2,2.68,0.6,70.41,1010539200.0,2.94,94.45
2024-01-30,159.0,161.73,158.49,160.7,45207400,156.53,153.54,150.52,2.71,0.5,63.09,965331800.0,2.97,88.56
2024-01-31,155.2,159.01,154.81,157.0,50284400,156.88,153.8,150.76,2.4,0.15,53.1,915047400.0,3.05,73.81
2024-02-01,159.28,159.76,155.62,155.87,76542400,157.46,154.34,151.05,2.45,0.17,60.36,991589800.0,3.16,66.98
2024-02-02,171.81,172.5,167.33,169.19,117154900,159.11,155.7,151.56,3.46,0.94,73.78,1108744700.0,3.88,73.66
2024-02-05,170.31,170.55,167.7,170.2,55081300,160.66,156.96,152.09,4.1,1.26,70.69,1053663400.0,3.9,88.84
2024-02-06,169.15,170.71,167.65,169.39,42505500,161.97,157.96,152.54,4.46,1.3,68.31,1011157900.0,3.84,90.35
2024-02-07,170.53,170.88,168.94,169.48,47174100,163.34,158.92,153.01,4.8,1.31,69.62,1058332000.0,3.7,88.05
2024-02-08,169.84,171.43,168.88,169.65,42316500,164.55,159.72,153.46,4.96,1.17,68.11,1016015500.0,3.62,86.51
2024-02-09,174.45,175.0,170.58,170.9,56986000,166.08,160.68,154.0,5.39,1.29,72.43,1073001500.0,3.73,91.04
2024-02-12,172.34,175.39,171.54,174.8,51050400,167.19,161.57,154.52,5.5,1.12,67.9,1021951100.0,3.74,89.48
2024-02-13,168.64,170.95,165.75,167.73,56345100,168.15,162.34,154.97,5.23,0.68,60.72,965606000.0,3.94,83.45
2024-02-14,170.98,171.21,168.28,169.21,42815500,169.73,163.31,155.45,5.14,0.47,63.36,1008421500.0,3.87,77.18
2024-02-15,169.8,171.17,167.59,170.58,49855200,170.78,164.12,155.95,4.92,0.2,61.13,958566300.0,3.85,73.01
